"date","SP500","PctReturn","ndays","dayofweek"
2001-04-10,1168.38,0.0263527277084512,1,2
2001-04-11,1165.89,-0.00213570748526877,1,3
2001-04-12,1183.5,0.0148795944233206,1,4
2001-04-16,1179.68,-0.00323816628238161,4,1
2001-04-17,1191.81,0.0101777967964691,1,2
2001-04-18,1238.16,0.0374345803450282,1,3
2001-04-19,1253.69,0.0123874322998508,1,4
2001-04-20,1242.98,-0.00861638964424209,1,5
2001-04-23,1224.36,-0.0152079453755432,3,1
2001-04-24,1209.47,-0.0123111776232564,1,2
2001-04-25,1228.75,0.0156907426246185,1,3
2001-04-26,1234.52,0.00467388134659623,1,4
2001-04-27,1253.05,0.0147879174813455,1,5
2001-04-30,1249.46,-0.00287324124021571,3,1
2001-05-01,1266.44,0.0134076624238022,1,2
2001-05-02,1267.43,0.000781108226884332,1,3
2001-05-03,1248.58,-0.0150971503628123,1,4
2001-05-04,1266.61,0.014234847348434,1,5
2001-05-07,1263.51,-0.00245348275834771,3,1
2001-05-08,1261.2,-0.00183158896289244,1,2
2001-05-09,1255.54,-0.00450802045335081,1,3
2001-05-10,1255.18,-0.00028681145333729,1,4
2001-05-11,1245.67,-0.00763444571997398,1,5
2001-05-14,1248.92,0.00260224834256798,3,1
2001-05-15,1249.44,0.000416186451530271,1,2
2001-05-16,1284.99,0.0276655849461863,1,3
2001-05-17,1288.49,0.00271635790731787,1,4
2001-05-18,1291.96,0.00268584166692469,1,5
2001-05-21,1312.83,0.0158969554321579,3,1
2001-05-22,1309.38,-0.00263483480731325,1,2
2001-05-23,1289.05,-0.015771304449013,1,3
2001-05-24,1293.17,0.00318596936211025,1,4
2001-05-25,1277.89,-0.0119572107145372,1,5
2001-05-29,1267.93,-0.00785532324339675,4,2
2001-05-30,1248.08,-0.0159044292032563,1,3
2001-05-31,1255.82,0.00616330365816758,1,4
2001-06-01,1260.67,0.00384716063680435,1,5
2001-06-04,1267.11,0.00508243167522932,3,1
2001-06-05,1283.57,0.0128236091525979,1,2
2001-06-06,1270.03,-0.0106611654842799,1,3
2001-06-07,1276.96,0.00542695150983591,1,4
2001-06-08,1264.96,-0.0094864659752087,1,5
2001-06-11,1254.39,-0.00842640646051064,3,1
2001-06-12,1255.85,0.00116255922283697,1,2
2001-06-13,1241.6,-0.0114771262886598,1,3
2001-06-14,1219.87,-0.0178133735561986,1,4
2001-06-15,1214.36,-0.00453736947857307,1,5
2001-06-18,1208.43,-0.0049071936314059,3,1
2001-06-19,1212.58,0.00342245460093343,1,2
2001-06-20,1223.14,0.00863351701358812,1,3
2001-06-21,1237.04,0.0112365000323351,1,4
2001-06-22,1225.35,-0.00954013139103118,1,5
2001-06-25,1218.6,-0.00553914327917282,3,1
2001-06-26,1216.76,-0.00151221276176067,1,2
2001-06-27,1211.07,-0.0046983246220285,1,3
2001-06-28,1226.2,0.0123389332898386,1,4
2001-06-29,1224.38,-0.00148646661984019,1,5
2001-07-02,1236.72,0.00997800633934918,3,1
2001-07-03,1234.45,-0.00183887561262099,1,2
2001-07-05,1219.24,-0.0124749844165218,2,4
2001-07-06,1190.59,-0.0240636995103269,1,5
2001-07-09,1198.78,0.00683194581157515,3,1
2001-07-10,1181.52,-0.0146083011713725,1,2
2001-07-11,1180.18,-0.00113542002067474,1,3
2001-07-12,1208.14,0.0231430132269439,1,4
2001-07-13,1215.68,0.00620229007633585,1,5
2001-07-16,1202.45,-0.0110025364880037,3,1
2001-07-17,1214.44,0.00987286321267416,1,2
2001-07-18,1207.71,-0.00557252982918086,1,3
2001-07-19,1215.02,0.00601636187058645,1,4
2001-07-20,1210.85,-0.00344386175001038,1,5
2001-07-23,1191.03,-0.0166410585795487,3,1
2001-07-24,1171.65,-0.0165407758289591,1,2
2001-07-25,1190.49,0.0158254164251694,1,3
2001-07-26,1202.93,0.0103414163750177,1,4
2001-07-27,1205.82,0.00239670929326091,1,5
2001-07-30,1204.52,-0.00107926809019357,3,1
2001-07-31,1211.23,0.00553982315497473,1,2
2001-08-01,1215.93,0.00386535409110726,1,3
2001-08-02,1220.75,0.00394839238173249,1,4
2001-08-03,1214.35,-0.00527030921892378,1,5
2001-08-06,1200.48,-0.0115537118485938,3,1
2001-08-07,1204.4,0.0032547326469612,1,2
2001-08-08,1183.53,-0.0176336890488624,1,3
2001-08-09,1183.43,-8.45001394251532e-05,1,4
2001-08-10,1190.16,0.00565470188882169,1,5
2001-08-13,1191.29,0.000948551570146549,3,1
2001-08-14,1186.73,-0.0038424915524171,1,2
2001-08-15,1178.02,-0.00739376241489961,1,3
2001-08-16,1181.66,0.00308041230133888,1,4
2001-08-17,1161.97,-0.0169453600351128,1,5
2001-08-20,1171.41,0.00805866434467868,3,1
2001-08-21,1157.26,-0.0122271572507475,1,2
2001-08-22,1165.31,0.00690803305558174,1,3
2001-08-23,1162.09,-0.00277086972609697,1,4
2001-08-24,1184.93,0.0192754002346131,1,5
2001-08-27,1179.21,-0.00485070513309761,3,1
2001-08-28,1161.51,-0.015238783996694,1,2
2001-08-29,1148.56,-0.011274987810824,1,3
2001-08-30,1129.03,-0.0172980345960692,1,4
2001-08-31,1133.58,0.00401383228356177,1,5
2001-09-04,1132.94,-0.000564901936554339,4,2
2001-09-05,1131.74,-0.00106031420644322,1,3
2001-09-06,1106.4,-0.0229031091829356,1,4
2001-09-07,1085.78,-0.0189909558105695,1,5
2001-09-10,1092.54,0.00618741647903051,3,1
2001-09-17,1038.77,-0.0517631429479095,7,1
2001-09-18,1032.74,-0.00583883649321221,1,2
2001-09-19,1016.1,-0.0163763409113276,1,3
2001-09-20,984.54,-0.0320555792552868,1,4
2001-09-21,965.8,-0.0194036032304825,1,5
2001-09-24,1003.45,0.0375205540883951,3,1
2001-09-25,1012.27,0.00871309038102476,1,2
2001-09-26,1007.04,-0.00519343819510647,1,3
2001-09-27,1018.61,0.0113586161533855,1,4
2001-09-28,1040.94,0.0214517647510904,1,5
2001-10-01,1038.55,-0.00230128544605469,3,1
2001-10-02,1051.33,0.0121560309322477,1,2
2001-10-03,1072.28,0.0195378072891409,1,3
2001-10-04,1069.63,-0.0024774922169347,1,4
2001-10-05,1071.38,0.00163340738113461,1,5
2001-10-08,1062.44,-0.00841459282406541,3,1
2001-10-09,1056.75,-0.00538443340430571,1,2
2001-10-10,1080.99,0.0224238892126662,1,3
2001-10-11,1097.43,0.0149804543342173,1,4
2001-10-12,1091.65,-0.00529473732423393,1,5
2001-10-15,1089.98,-0.00153213820437079,3,1
2001-10-16,1097.54,0.00688813163984907,1,2
2001-10-17,1077.09,-0.0189863428311469,1,3
2001-10-18,1068.61,-0.00793554243362875,1,4
2001-10-19,1073.48,0.00453664716622584,1,5
2001-10-22,1089.9,0.0150656023488394,3,1
2001-10-23,1084.78,-0.00471985102970198,1,2
2001-10-24,1085.2,0.000387025433099956,1,3
2001-10-25,1100.09,0.0135352562063103,1,4
2001-10-26,1104.61,0.00409194195236326,1,5
2001-10-29,1078.3,-0.0243995177594361,3,1
2001-10-30,1059.79,-0.0174657243416148,1,2
2001-10-31,1059.78,-9.43592066277049e-06,1,3
2001-11-01,1084.1,0.022433354856563,1,4
2001-11-02,1087.2,0.00285136129507003,1,5
2001-11-05,1102.84,0.0141815675891334,3,1
2001-11-06,1118.86,0.0143181452549917,1,2
2001-11-07,1115.8,-0.00274242695823619,1,3
2001-11-08,1118.54,0.00244962182845496,1,4
2001-11-09,1120.31,0.0015799198436147,1,5
2001-11-12,1118.33,-0.00177049708046821,3,1
2001-11-13,1139.09,0.0182250744014959,1,2
2001-11-14,1141.21,0.00185767737752045,1,3
2001-11-15,1142.24,0.000901736937946467,1,4
2001-11-16,1138.65,-0.00315285645281686,1,5
2001-11-19,1151.06,0.0107813667402219,3,1
2001-11-20,1142.66,-0.00735126809374605,1,2
2001-11-21,1137.03,-0.00495149644248622,1,3
2001-11-23,1150.34,0.0115704922023054,2,5
2001-11-26,1157.42,0.00611705344645864,3,1
2001-11-27,1149.5,-0.00688995215311011,1,2
2001-11-28,1128.52,-0.018590720589799,1,3
2001-11-29,1140.2,0.0102438168742326,1,4
2001-11-30,1139.45,-0.000658212295405678,1,5
2001-12-03,1129.9,-0.00845207540490305,3,1
2001-12-04,1144.8,0.0130153738644303,1,2
2001-12-05,1170.35,0.0218310761737941,1,3
2001-12-06,1167.1,-0.00278467997600891,1,4
2001-12-07,1158.31,-0.00758864207336548,1,5
2001-12-10,1139.93,-0.0161237970752589,3,1
2001-12-11,1136.76,-0.00278862732678848,1,2
2001-12-12,1137.07,0.000272630532860726,1,3
2001-12-13,1119.38,-0.0158033911629651,1,4
2001-12-14,1123.09,0.00330338619344826,1,5
2001-12-17,1134.36,0.00993511759935116,3,1
2001-12-18,1142.92,0.00748958807265615,1,2
2001-12-19,1149.56,0.00577612303837979,1,3
2001-12-20,1139.93,-0.00844788715096531,1,4
2001-12-21,1144.89,0.00433229393216819,1,5
2001-12-24,1144.65,-0.000209671078495618,3,1
2001-12-26,1149.37,0.00410659752734089,2,3
2001-12-27,1157.13,0.00670624735336584,1,4
2001-12-28,1161.02,0.00335050214466579,1,5
2001-12-31,1148.08,-0.0112709915685319,3,1
2002-01-02,1154.67,0.00570725835087094,2,3
2002-01-03,1165.27,0.00909660422048101,1,4
2002-01-04,1172.51,0.00617478742185569,1,5
2002-01-07,1164.89,-0.00654139017417944,3,1
2002-01-08,1160.71,-0.00360124406613199,1,2
2002-01-09,1155.14,-0.00482192634658997,1,3
2002-01-10,1156.55,0.0012191431412389,1,4
2002-01-11,1145.6,-0.00955831005586596,1,5
2002-01-14,1138.41,-0.0063158264597112,3,1
2002-01-15,1146.19,0.00678770535426061,1,2
2002-01-16,1127.57,-0.0165133871954736,1,3
2002-01-17,1138.88,0.00993080921607208,1,4
2002-01-18,1127.58,-0.0100214618918393,1,5
2002-01-22,1119.31,-0.00738848040310547,4,2
2002-01-23,1128.18,0.00786222056764002,1,3
2002-01-24,1132.15,0.00350660248200329,1,4
2002-01-25,1133.28,0.000997105746152656,1,5
2002-01-28,1133.06,-0.000194164474961632,3,1
2002-01-29,1100.64,-0.0294555894752143,1,2
2002-01-30,1113.57,0.011611304183841,1,3
2002-01-31,1130.2,0.0147142098743586,1,4
2002-02-01,1122.2,-0.0071288540367136,1,5
2002-02-04,1094.44,-0.0253645700084061,3,1
2002-02-05,1090.02,-0.00405497146841349,1,2
2002-02-06,1083.51,-0.00600825096215078,1,3
2002-02-07,1080.17,-0.00309210587222374,1,4
2002-02-08,1096.22,0.0146412216525879,1,5
2002-02-11,1111.94,0.0141374534597191,3,1
2002-02-12,1107.5,-0.00400902934537251,1,2
2002-02-13,1118.51,0.00984345245013455,1,3
2002-02-14,1116.48,-0.00181821438807679,1,4
2002-02-15,1104.18,-0.0111394881269358,1,5
2002-02-19,1083.34,-0.0192368046965866,4,2
2002-02-20,1097.98,0.0133335762035739,1,3
2002-02-21,1080.95,-0.0157546602525556,1,4
2002-02-22,1089.84,0.008157160684137,1,5
2002-02-25,1109.43,0.0176577161244965,3,1
2002-02-26,1109.38,-4.50702194017871e-05,1,2
2002-02-27,1109.89,0.000459504995990585,1,3
2002-02-28,1106.73,-0.00285525828341157,1,4
2002-03-01,1131.78,0.0221332767852409,1,5
2002-03-04,1153.84,0.0191187686334327,3,1
2002-03-05,1146.14,-0.00671820196485579,1,2
2002-03-06,1162.77,0.0143020545765714,1,3
2002-03-07,1157.54,-0.00451820239473368,1,4
